PartitionKey,RowKey,Timestamp,Name,Score,Total
Ireland,Ireland,2016-06-28T21:24:38.556Z,Ireland,0,0 
Israel,Israel,2016-06-28T21:24:38.544Z,Israel,0,0 
Italy,Italy,2016-06-28T21:24:38.591Z,Italy,0,0 
Ivory Coast,Ivory Coast,2016-06-28T21:24:38.578Z,Ivory Coast,0,0 
Jamaica,Jamaica,2016-06-28T21:24:38.578Z,Jamaica,0,0 
Japan,Japan,2016-06-28T21:24:38.591Z,Japan,0,0 
Jordan,Jordan,2016-06-28T21:24:38.579Z,Jordan,0,0 
Kazakhstan,Kazakhstan,2016-06-28T21:24:38.597Z,Kazakhstan,0,0 
Kenya,Kenya,2016-06-28T21:24:38.669Z,Kenya,0,0 
Kiribati,Kiribati,2016-06-28T21:24:38.585Z,Kiribati,0,0 
Kosovo,Kosovo,2016-06-28T21:24:38.660Z,Kosovo,0,0 
Kuwait,Kuwait,2016-06-28T21:24:38.663Z,Kuwait,0,0 
Kyrgyzstan,Kyrgyzstan,2016-06-28T21:24:38.673Z,Kyrgyzstan,0,0 
Latvia,Latvia,2016-06-28T21:24:38.665Z,Latvia,0,0 
Lebanon,Lebanon,2016-06-28T21:24:38.668Z,Lebanon,0,0 
Lesotho,Lesotho,2016-06-28T21:24:38.663Z,Lesotho,0,0 
Liberia,Liberia,2016-06-28T21:24:38.667Z,Liberia,0,0 
Libya,Libya,2016-06-28T21:24:38.669Z,Libya,0,0 
Lithuania,Lithuania,2016-06-28T21:24:38.667Z,Lithuania,0,0 
Luxembourg,Luxembourg,2016-06-28T21:24:39.686Z,Luxembourg,0,0 
Macedonia,Macedonia,2016-06-28T21:24:39.689Z,Macedonia,0,0 
Madagascar,Madagascar,2016-06-28T21:24:39.696Z,Madagascar,0,0 
Malaysia,Malaysia,2016-06-28T21:24:39.667Z,Malaysia,0,0 
Mali,Mali,2016-06-28T21:24:39.713Z,Mali,0,0
Malta,Malta,2016-06-28T21:24:39.686Z,Malta,0,0 
Mauritius,Mauritius,2016-06-28T21:24:39.711Z,Mauritius,0,0 
Mexico,Mexico,2016-06-29T00:37:16.458Z,Mexico,84.3,1
Moldova,Moldova,2016-06-28T21:24:39.725Z,Moldova,0,0 
Monaco,Monaco,2016-06-28T21:24:39.739Z,Monaco,0,0 
Mongolia,Mongolia,2016-06-28T21:24:39.741Z,Mongolia,0,0 
Montenegro,Montenegro,2016-06-28T21:24:39.741Z,Montenegro,0,0 
Morocco,Morocco,2016-06-28T21:24:39.749Z,Morocco,0,0 
Mozambique,Mozambique,2016-06-28T21:24:39.766Z,Mozambique,0,0 
Myanmar,Myanmar,2016-06-28T21:24:39.751Z,Myanmar,0,0 
Namibia,Namibia,2016-06-28T21:24:39.737Z,Namibia,0,0 
Nauru,Nauru,2016-06-28T21:24:39.737Z,Nauru,0,0 
Nepal,Nepal,2016-06-28T21:24:39.752Z,Nepal,0,0 
Netherlands,Netherlands,2016-06-28T21:24:39.798Z,Netherlands,0,0 
New Zealand,New Zealand,2016-06-28T21:24:39.755Z,New Zealand,0,0 
Nicaragua,Nicaragua,2016-06-28T21:24:39.800Z,Nicaragua,0,0 
Niger,Niger,2016-06-28T21:24:39.755Z,Niger,0,0 
Nigeria,Nigeria,2016-06-28T21:24:39.801Z,Nigeria,0,0 
North Korea,North Korea,2016-06-28T21:24:39.809Z,North Korea,0,0 
Norway,Norway,2016-06-28T21:24:39.802Z,Norway,0,0 
Oman,Oman,2016-06-28T21:24:39.802Z,Oman,0,0
Pakistan,Pakistan,2016-06-28T21:24:39.806Z,Pakistan,0,0 
Palau,Palau,2016-06-28T21:24:39.805Z,Palau,0,0 
Palestine,Palestine,2016-06-28T21:24:39.808Z,Palestine,0,0 
Panama,Panama,2016-06-28T21:24:39.807Z,Panama,0,0 
Papua New Guinea,Papua New Guinea,2016-06-28T21:24:39.849Z,Papua New Guinea,0,0 
Paraguay,Paraguay,2016-06-28T21:24:39.803Z,Paraguay,0,0 
Peru,Peru,2016-06-28T21:24:39.806Z,Peru,0,0
Philippines,Philippines,2016-06-28T21:24:39.810Z,Philippines,0,0 
Poland,Poland,2016-06-28T21:24:39.811Z,Poland,0,0 
Portugal,Portugal,2016-06-28T21:24:39.809Z,Portugal,0,0 
Puerto Rico,Puerto Rico,2016-06-28T21:24:39.818Z,Puerto Rico,0,0 
Qatar,Qatar,2016-06-28T21:24:39.816Z,Qatar,0,0 
Refugee Olympic Athletes,Refugee Olympic Athletes,2016-06-28T21:24:39.821Z,Refugee Olympic Athletes,0,0 
Romania,Romania,2016-06-28T21:24:39.808Z,Romania,0,0 
Russia,Russia,2016-06-29T21:02:07.808Z,Russia,50.1,2
Rwanda,Rwanda,2016-06-28T21:24:39.817Z,Rwanda,0,0 
Saint Kitts and Nevis,Saint Kitts and Nevis,2016-06-28T21:24:39.825Z,Saint Kitts and Nevis,0,0 
Saint Lucia,Saint Lucia,2016-06-28T21:24:39.827Z,Saint Lucia,0,0 
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2016-06-28T21:24:39.835Z,Saint Vincent and the Grenadines,0,0 
Samoa,Samoa,2016-06-28T21:24:39.821Z,Samoa,0,0 
San Marino,San Marino,2016-06-28T21:24:39.831Z,San Marino,0,0 
Saudi Arabia,Saudi Arabia,2016-06-28T21:24:39.824Z,Saudi Arabia,0,0 
Senegal,Senegal,2016-06-28T21:24:39.778Z,Senegal,0,0 
Serbia,Serbia,2016-06-28T21:24:39.834Z,Serbia,0,0 
Seychelles,Seychelles,2016-06-28T21:24:39.779Z,Seychelles,0,0 
Singapore,Singapore,2016-06-28T21:24:39.778Z,Singapore,0,0 
Slovakia,Slovakia,2016-06-28T21:24:39.778Z,Slovakia,0,0 
Slovenia,Slovenia,2016-06-28T21:24:39.834Z,Slovenia,0,0 
Somalia,Somalia,2016-06-28T21:24:39.838Z,Somalia,0,0 
South Africa,South Africa,2016-06-28T21:24:39.840Z,South Africa,0,0 
South Korea,South Korea,2016-06-28T21:24:39.842Z,South Korea,0,0 
Spain,Spain,2016-06-28T21:24:39.846Z,Spain,0,0 
Sri Lanka,Sri Lanka,2016-06-28T21:24:39.834Z,Sri Lanka,0,0 
Sudan,Sudan,2016-06-28T21:24:39.841Z,Sudan,0,0 
Suriname,Suriname,2016-06-28T21:24:39.844Z,Suriname,0,0 
Sweden,Sweden,2016-06-28T21:24:39.849Z,Sweden,0,0 
Switzerland,Switzerland,2016-06-28T21:24:39.848Z,Switzerland,0,0 
Syria,Syria,2016-06-28T21:24:39.843Z,Syria,0,0 
São Tomé and Príncipe,São Tomé and Príncipe,2016-06-28T21:24:39.852Z,São Tomé and Príncipe,0,0 
Tajikistan,Tajikistan,2016-06-28T21:24:39.854Z,Tajikistan,0,0 
Tanzania,Tanzania,2016-06-28T21:24:39.852Z,Tanzania,0,0 
Thailand,Thailand,2016-06-28T21:24:39.845Z,Thailand,0,0 
The Gambia,The Gambia,2016-06-28T21:24:39.860Z,The Gambia,0,0 
Trinidad and Tobago,Trinidad and Tobago,2016-06-28T21:24:39.876Z,Trinidad and Tobago,0,0 
Tunisia,Tunisia,2016-06-28T21:24:39.878Z,Tunisia,0,0 
Turkey,Turkey,2016-06-28T21:24:39.854Z,Turkey,0,0 
Turkmenistan,Turkmenistan,2016-06-28T21:24:39.897Z,Turkmenistan,0,0 
Uganda,Uganda,2016-06-28T21:24:39.883Z,Uganda,0,0 
Ukraine,Ukraine,2016-06-28T21:24:39.899Z,Ukraine,0,0 
United Arab Emirates,United Arab Emirates,2016-06-28T21:24:39.886Z,United Arab Emirates,0,0 
United States,United States,2016-06-28T21:24:39.892Z,United States,0,0 
Uruguay,Uruguay,2016-06-28T21:24:39.911Z,Uruguay,0,0 
Uzbekistan,Uzbekistan,2016-06-28T21:24:39.941Z,Uzbekistan,0,0 
Vanuatu,Vanuatu,2016-06-28T21:24:39.952Z,Vanuatu,0,0 
Venezuela,Venezuela,2016-06-28T21:24:39.970Z,Venezuela,0,0 
Vietnam,Vietnam,2016-06-28T21:24:39.908Z,Vietnam,0,0 
Virgin Islands,Virgin Islands,2016-06-28T21:24:39.939Z,Virgin Islands,0,0 
Zambia,Zambia,2016-06-28T21:24:39.953Z,Zambia,0,0 
Zimbabwe,Zimbabwe,2016-06-28T21:24:39.949Z,Zimbabwe,0,0
